ID,Gender,FTE,Emp Type,Department,Branch,Salary,Leave Balance,Date of Join,Date of Birth,Tenure,Tenure Group,Age
EMP3937,FEMALE,1,Permanent,Epsilon,Controlling,"$61,070 ",15,6-Sep-21,14-Jun-66,4.7,4. 2 or more years.,59.96
EMP19889,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$96,170 ",5,28-Jul-22,24-Mar-67,3.81,4. 2 or more years.,59.19
EMP12084,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$82,015 ",1,30-May-22,23-Aug-93,3.97,4. 2 or more years.,32.75
EMP21723,FEMALE,1,Permanent,Epsilon,Controlling,"$89,990 ",6,28-Oct-19,31-Jan-56,6.56,4. 2 or more years.,70.34
EMP16346,FEMALE,1,Permanent,Gamma,Web Design,"$74,905 ",11,4-Jul-22,10-Jul-74,3.87,4. 2 or more years.,51.89
EMP22786,MALE  ,1,Permanent,Gamma,Powders,"$57,645 ",10,16-Aug-21,18-Jun-78,4.75,4. 2 or more years.,47.95
EMP17109,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$80,160 ",6,12-Jul-22,14-May-93,3.85,4. 2 or more years.,33.03
EMP1837,MALE  ,1,Permanent,Alpha,Chocolatiers,"$75,645 ",12,7-Apr-21,25-Nov-80,5.11,4. 2 or more years.,45.5
EMP18251,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$63,490 ",14,18-Jul-22,19-Sep-89,3.83,4. 2 or more years.,36.68
EMP9726,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$88,755 ",18,5-May-22,4-Jul-91,4.04,4. 2 or more years.,34.89
EMP1908,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$74,000 ",5,16-Apr-21,29-Apr-54,5.09,4. 2 or more years.,72.1
EMP13030,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$101,165 ",19,24-May-22,17-Dec-19,3.98,4. 2 or more years.,106.49
EMP268,FEMALE,1,Permanent,Alpha,Chocolatiers,"$75,450 ",17,20-Feb-19,16-Nov-61,7.24,4. 2 or more years.,64.54
EMP5339,MALE  ,1,Permanent,Gamma,Chocolatiers,"$82,185 ",12,16-Feb-22,21-Feb-84,4.25,4. 2 or more years.,42.26
EMP11220,MALE  ,1,Permanent,Alpha,Chocolatiers,"$74,130 ",8,23-May-22,11-Jun-67,3.99,4. 2 or more years.,58.97
EMP13741,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$66,260 ",10,13-Jun-22,16-Jul-94,3.93,4. 2 or more years.,31.86
EMP20,MALE  ,1,Permanent,Alpha,Plantation,"$48,230 ",10,2-Jan-18,2-Mar-52,8.38,4. 2 or more years.,74.26
EMP2773,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$48,230 ",10,24-Jan-22,14-Dec-78,4.31,4. 2 or more years.,47.45
EMP21879,MALE  ,1,Permanent,Gamma,Web Design,"$77,285 ",15,29-Jun-20,2-Aug-57,5.88,4. 2 or more years.,68.84
EMP21746,MALE  ,0.6,Permanent,Gamma,Chocolatiers,"$65,720 ",7,15-Jul-19,14-Oct-57,6.84,4. 2 or more years.,68.64
EMP3696,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$105,085 ",12,23-Aug-21,11-Apr-58,4.73,4. 2 or more years.,68.15
EMP3978,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$57,830 ",9,26-May-21,21-Nov-19,4.98,4. 2 or more years.,106.56
EMP6846,FEMALE,1,Permanent,Beta,Employee Relations,"$81,735 ",19,9-Mar-22,30-Mar-83,4.19,4. 2 or more years.,43.16
EMP17942,MALE  ,1,Permanent,Zeta,Accounting,"$74,730 ",7,19-Jul-22,26-Jul-71,3.83,4. 2 or more years.,54.85
EMP11477,MALE  ,1,Fixed Term,Delta,Plantation,"$81,220 ",9,24-May-22,20-Aug-68,3.98,4. 2 or more years.,57.78
EMP25425,MALE  ,1,Other,Beta,Legal,"$56,905 ",18,6-Jul-22,10-Dec-19,3.87,4. 2 or more years.,106.51
EMP22772,FEMALE,1,Permanent,Epsilon,Financial Strategy,"$100,250 ",23,16-Aug-21,23-Dec-64,4.75,4. 2 or more years.,61.44
EMP25137,FEMALE,1,Other,Alpha,Cocoa Sales,"$95,480 ",7,1-Jul-22,20-Dec-19,3.88,4. 2 or more years.,106.48
EMP5161,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$98,935 ",22,13-Dec-21,29-Jul-83,4.43,4. 2 or more years.,42.83
EMP18229,FEMALE,1,Permanent,Beta,Human Resources,"$55,935 ",18,18-Jul-22,11-Feb-86,3.83,4. 2 or more years.,40.29
EMP5102,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$100,075 ",12,10-Dec-21,8-Sep-64,4.44,4. 2 or more years.,61.73
EMP18145,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$93,080 ",12,18-Jul-22,16-Oct-88,3.83,4. 2 or more years.,37.61
EMP11820,MALE  ,0,Other,Alpha,Chocolatiers,"$61,025 ",19,25-May-22,6-Oct-48,3.98,4. 2 or more years.,77.66
EMP26505,FEMALE,1,Other,Beta,Remuneration and Analytics,"$94,750 ",8,28-Jul-22,2-Nov-19,3.81,4. 2 or more years.,106.61
EMP4551,FEMALE,0.5,Permanent,Alpha,Plantation,"$92,720 ",13,8-Nov-21,21-Dec-81,4.52,4. 2 or more years.,44.43
EMP26405,FEMALE,1,Other,Delta,South American Support Group,"$67,240 ",22,25-Jul-22,17-Dec-19,3.81,4. 2 or more years.,106.49
EMP24652,MALE  ,1,Other,Beta,Training and Empowerment,"$84,450 ",13,29-Jun-22,23-Nov-19,3.88,4. 2 or more years.,106.55
EMP22979,MALE  ,1,Permanent,Gamma,Web Design,"$69,070 ",13,20-Oct-21,27-May-82,4.58,4. 2 or more years.,44
EMP20179,FEMALE,1,Permanent,Gamma,Powders,"$86,265 ",9,29-Jul-22,13-Feb-89,3.8,4. 2 or more years.,37.28
EMP18689,FEMALE,0,Other,Alpha,Cocoa Sales,"$78,025 ",8,21-Jul-22,3-Mar-96,3.82,4. 2 or more years.,30.22
EMP4043,FEMALE,0.8,Permanent,Gamma,Chocolatiers,"$80,880 ",5,16-Sep-21,8-Jan-54,4.67,4. 2 or more years.,72.4
EMP11796,FEMALE,1,Permanent,Gamma,Chocolatiers,"$102,830 ",3,26-May-22,13-May-46,3.98,4. 2 or more years.,80.07
EMP806,MALE  ,1,Permanent,Alpha,Plantation,"$67,415 ",6,13-Apr-22,30-Aug-68,4.1,4. 2 or more years.,57.75
EMP26932,MALE  ,1,Permanent,Gamma,App Design,"$86,115 ",13,9-May-22,10-Jan-74,4.02,4. 2 or more years.,52.38
EMP18335,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$61,175 ",9,19-Jul-22,17-Aug-94,3.83,4. 2 or more years.,31.77
EMP6917,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$48,230 ",9,14-Mar-22,1-May-84,4.18,4. 2 or more years.,42.07
EMP5842,FEMALE,1,Permanent,Gamma,Chocolatiers,"$87,910 ",15,2-Feb-22,4-Jan-79,4.29,4. 2 or more years.,47.4
EMP8636,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$92,735 ",23,19-Apr-22,13-Oct-92,4.08,4. 2 or more years.,33.61
EMP12566,MALE  ,1,Permanent,Epsilon,Controlling,"$72,070 ",18,6-Jun-22,5-Jun-76,3.95,4. 2 or more years.,49.98
EMP12433,FEMALE,1,Permanent,Epsilon,Controlling,"$68,935 ",12,3-Jun-22,6-Dec-71,3.96,4. 2 or more years.,54.48
EMP10095,FEMALE,1,Permanent,Gamma,Web Design,"$89,385 ",9,11-May-22,26-Sep-84,4.02,4. 2 or more years.,41.67
EMP16698,FEMALE,1,Permanent,Delta,Fruits & Vegetables,"$81,310 ",6,7-Jul-22,27-Mar-94,3.86,4. 2 or more years.,32.16
EMP6793,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$82,315 ",21,10-Mar-22,18-Sep-91,4.19,4. 2 or more years.,34.68
EMP23248,FEMALE,1,Permanent,Gamma,Cake Design,"$70,150 ",12,13-Dec-21,6-Nov-61,4.43,4. 2 or more years.,64.57
EMP4467,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$48,855 ",12,2-Nov-21,13-Jun-63,4.54,4. 2 or more years.,62.97
EMP9090,MALE  ,1,Permanent,Alpha,Chocolatiers,"$84,075 ",16,28-Apr-22,1-Mar-66,4.05,4. 2 or more years.,60.25
EMP20909,FEMALE,1,Permanent,Gamma,Powders,"$111,345 ",18,18-Nov-20,27-Sep-52,5.5,4. 2 or more years.,73.68
EMP6686,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$63,390 ",1,7-Mar-22,9-Nov-79,4.2,4. 2 or more years.,46.55
EMP26559,FEMALE,1,Other,Zeta,Accounts Payable,"$70,985 ",11,28-Jul-22,4-Dec-19,3.81,4. 2 or more years.,106.52
EMP11051,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$50,530 ",4,8-Apr-22,9-Dec-19,4.11,4. 2 or more years.,106.51
EMP6034,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$73,250 ",21,14-Feb-22,14-Jun-88,4.25,4. 2 or more years.,37.95
EMP2251,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$115,635 ",7,12-May-21,15-Jul-71,5.02,4. 2 or more years.,54.88
EMP11041,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$68,105 ",17,5-Apr-22,29-Dec-19,4.12,4. 2 or more years.,106.45
EMP26501,FEMALE,1,Other,Epsilon,Financial Strategy,"$75,105 ",16,28-Jul-22,2-Dec-19,3.81,4. 2 or more years.,106.53
EMP5568,FEMALE,1,Permanent,Delta,Fruits & Vegetables,"$80,715 ",15,5-Jan-22,13-Apr-89,4.36,4. 2 or more years.,37.12
EMP3629,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$95,385 ",5,20-Aug-21,###############################################################################################################################################################################################################################################################,4.74,4. 2 or more years.,126.58
EMP19919,MALE  ,1,Permanent,Delta,Fruits & Vegetables,"$94,945 ",23,27-Jul-22,26-Dec-90,3.81,4. 2 or more years.,35.41
EMP21810,MALE  ,1,Permanent,Gamma,Web Design,"$75,665 ",3,29-Jun-20,11-Sep-68,5.88,4. 2 or more years.,57.72
EMP22052,FEMALE,1,Permanent,Gamma,Cake Design,"$91,895 ",10,3-Dec-20,20-Jul-67,5.45,4. 2 or more years.,58.87
EMP5905,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$81,250 ",22,7-Feb-22,7-Jul-79,4.27,4. 2 or more years.,46.89
EMP9965,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$63,100 ",11,10-May-22,25-Jun-90,4.02,4. 2 or more years.,35.92
EMP13542,FEMALE,1,Permanent,Gamma,Powders,"$67,345 ",29,13-Jun-22,19-Jul-83,3.93,4. 2 or more years.,42.86
EMP18735,FEMALE,1,Permanent,Gamma,App Design,"$65,985 ",4,20-Jul-22,16-Sep-92,3.83,4. 2 or more years.,33.69
EMP26914,MALE  ,1,Permanent,Gamma,App Design,"$60,695 ",19,15-Mar-22,23-Feb-53,4.18,4. 2 or more years.,73.28
EMP3306,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$95,215 ",19,6-Aug-21,25-Dec-81,4.78,4. 2 or more years.,44.42
EMP20328,FEMALE,1,Permanent,Epsilon,Financial Strategy,"$86,115 ",2,29-Jul-22,13-Nov-19,3.8,4. 2 or more years.,106.58
EMP12160,MALE  ,1,Permanent,Zeta,Accounts Payable,"$99,860 ",24,30-May-22,17-Jun-79,3.97,4. 2 or more years.,46.95
EMP5417,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$74,585 ",14,29-Dec-21,26-Aug-83,4.38,4. 2 or more years.,42.75
EMP10815,MALE  ,1,Permanent,Alpha,Chocolatiers,"$84,895 ",20,20-May-22,19-Jun-83,3.99,4. 2 or more years.,42.94
EMP10952,FEMALE,1,Permanent,Beta,Stragegic Performance,"$77,815 ",11,20-May-22,14-Nov-85,3.99,4. 2 or more years.,40.53
EMP10912,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$78,845 ",12,18-May-22,15-Jun-95,4,4. 2 or more years.,30.94
EMP16718,FEMALE,1,Permanent,Gamma,Web Design,"$71,905 ",7,5-Jul-22,7-Apr-62,3.87,4. 2 or more years.,64.15
EMP25150,FEMALE,1,Other,Delta,Fruits & Vegetables,"$73,585 ",22,4-Jul-22,17-Nov-19,3.87,4. 2 or more years.,106.57
EMP21149,FEMALE,1,Permanent,Gamma,Cake Design,"$85,080 ",11,6-Jul-21,15-Nov-78,4.87,4. 2 or more years.,47.53
EMP12290,FEMALE,1,Permanent,Gamma,Web Design,"$62,375 ",6,1-Jun-22,13-Oct-89,3.96,4. 2 or more years.,36.62
EMP3985,MALE  ,1,Fixed Term,Alpha,Plantation,"$87,340 ",9,9-Sep-21,7-Dec-71,4.69,4. 2 or more years.,54.48
EMP20391,FEMALE,1,Permanent,Gamma,Cake Design,"$98,580 ",17,1-Aug-22,13-Apr-98,3.79,4. 2 or more years.,28.11
EMP4714,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$52,585 ",8,25-Nov-21,6-Mar-79,4.48,4. 2 or more years.,47.23
EMP18434,FEMALE,0.95,Permanent,Alpha,Plantation,"$82,730 ",20,20-Jul-22,1-Dec-19,3.83,4. 2 or more years.,106.53
EMP1084,FEMALE,0.75,Permanent,Alpha,Recipe Makers,"$90,940 ",15,15-Mar-21,30-Jun-79,5.18,4. 2 or more years.,46.91
EMP11705,FEMALE,1,Fixed Term,Gamma,Chocolatiers,"$85,515 ",5,24-May-22,15-Jan-92,3.98,4. 2 or more years.,34.36
EMP22687,MALE  ,1,Permanent,Zeta,Services,"$77,940 ",9,2-Aug-21,20-Dec-59,4.79,4. 2 or more years.,66.45
EMP1807,MALE  ,1,Permanent,Gamma,Chocolatiers,"$96,355 ",8,31-Mar-21,2-Sep-63,5.13,4. 2 or more years.,62.75
EMP10063,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$65,190 ",14,10-May-22,17-Jan-66,4.02,4. 2 or more years.,60.37
EMP14474,FEMALE,0.73,Permanent,Gamma,Powders,"$68,285 ",20,21-Jun-22,11-Sep-85,3.91,4. 2 or more years.,40.71
EMP10577,MALE  ,1,Permanent,Gamma,Web Design,"$76,015 ",10,16-May-22,17-May-93,4.01,4. 2 or more years.,33.02
EMP3275,MALE  ,1,Permanent,Epsilon,Vendor Support,"$87,195 ",14,3-Aug-21,11-Aug-80,4.79,4. 2 or more years.,45.79
EMP15403,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$62,380 ",21,27-Jun-22,20-Oct-88,3.89,4. 2 or more years.,37.6
EMP2695,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$74,165 ",15,14-Jun-21,17-Jun-83,4.93,4. 2 or more years.,42.95
EMP21313,MALE  ,1,Permanent,Gamma,Powders,"$84,750 ",19,14-Sep-21,24-Apr-77,4.67,4. 2 or more years.,49.1
EMP7892,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$88,740 ",9,6-Apr-22,###############################################################################################################################################################################################################################################################,4.12,4. 2 or more years.,126.56
EMP24290,MALE  ,1,Other,Beta,Legal,"$57,850 ",15,6-Jun-22,8-Nov-19,3.95,4. 2 or more years.,106.59
EMP18383,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$58,895 ",11,19-Jul-22,28-Feb-83,3.83,4. 2 or more years.,43.24
EMP7952,MALE  ,1,Permanent,Alpha,Plantation,"$77,030 ",17,5-Apr-22,28-Jan-68,4.12,4. 2 or more years.,58.34
EMP23671,MALE  ,1,Permanent,Gamma,Cake Design,"$71,045 ",4,23-Feb-22,14-Jun-59,4.23,4. 2 or more years.,66.97
EMP7707,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$66,340 ",10,29-Mar-22,29-Jan-91,4.14,4. 2 or more years.,35.32
EMP20527,MALE  ,0.71,Permanent,Gamma,Chocolatiers,"$73,810 ",20,1-Aug-22,21-Aug-75,3.79,4. 2 or more years.,50.77
EMP5334,FEMALE,1,Permanent,Alpha,Recipe Makers,"$64,025 ",19,24-Dec-21,14-Sep-82,4.4,4. 2 or more years.,43.7
EMP141,FEMALE,1,Permanent,Beta,Human Resources,"$71,590 ",19,29-May-19,21-Apr-60,6.97,4. 2 or more years.,66.12
EMP23599,MALE  ,1,Permanent,Gamma,App Design,"$105,400 ",19,18-Feb-22,9-Feb-76,4.24,4. 2 or more years.,50.3
EMP8200,MALE  ,1,Permanent,Alpha,Plantation,"$105,035 ",23,11-Apr-22,29-Jun-57,4.1,4. 2 or more years.,68.93
EMP10154,FEMALE,0,Other,Gamma,Web Design,"$54,505 ",8,10-May-22,14-Jun-64,4.02,4. 2 or more years.,61.96
EMP16391,FEMALE,1,Fixed Term,Alpha,Cocoa Sales,"$65,060 ",17,4-Jul-22,11-Sep-92,3.87,4. 2 or more years.,33.7
EMP15584,FEMALE,1,Permanent,Alpha,Chocolatiers,"$76,910 ",20,30-Jun-22,7-Apr-67,3.88,4. 2 or more years.,59.15
EMP14877,MALE  ,1,Permanent,Gamma,Web Design,"$70,470 ",11,27-Jun-22,6-Oct-92,3.89,4. 2 or more years.,33.63
EMP10698,FEMALE,1,Permanent,Beta,Training and Empowerment,"$69,300 ",6,16-May-22,1-May-82,4.01,4. 2 or more years.,44.07
EMP7109,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$86,770 ",19,15-Mar-22,29-Aug-66,4.18,4. 2 or more years.,59.76
EMP14674,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$100,770 ",9,24-Jun-22,8-Mar-95,3.9,4. 2 or more years.,31.21
EMP26196,MALE  ,1,Other,Gamma,App Design,"$80,975 ",9,19-Jul-22,26-Dec-19,3.83,4. 2 or more years.,106.46
EMP16735,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$70,550 ",20,7-Jul-22,28-Nov-94,3.86,4. 2 or more years.,31.49
EMP13143,FEMALE,0.9,Permanent,Beta,Training and Empowerment,"$78,030 ",9,10-Jun-22,28-Nov-58,3.94,4. 2 or more years.,67.51
EMP3995,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$100,645 ",9,8-Sep-21,5-Nov-68,4.69,4. 2 or more years.,57.57
EMP25667,MALE  ,1,Other,Gamma,App Design,"$61,830 ",23,11-Jul-22,18-Dec-19,3.85,4. 2 or more years.,106.48
EMP20938,MALE  ,0.8,Permanent,Gamma,Powders,"$67,060 ",10,15-Mar-21,30-May-46,5.18,4. 2 or more years.,80.02
EMP4587,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$80,500 ",11,15-Nov-21,###############################################################################################################################################################################################################################################################,4.5,4. 2 or more years.,126.48
EMP26009,MALE  ,1,Other,Alpha,Chocolatiers,"$67,865 ",18,18-Jul-22,28-Nov-19,3.83,4. 2 or more years.,106.54
EMP280,MALE  ,1,Permanent,Alpha,Recipe Makers,"$95,840 ",22,27-Apr-20,17-May-49,6.06,4. 2 or more years.,77.05
EMP7542,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$53,900 ",20,24-Mar-22,18-Nov-19,4.15,4. 2 or more years.,106.57
EMP23251,FEMALE,1,Permanent,Gamma,Web Design,"$63,410 ",9,14-Dec-21,16-Jul-79,4.42,4. 2 or more years.,46.87
EMP12555,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$52,835 ",8,6-Jun-22,9-Nov-92,3.95,4. 2 or more years.,33.54
EMP5451,MALE  ,1,Permanent,Epsilon,Buyer Support,"$90,935 ",19,29-Dec-21,12-Sep-75,4.38,4. 2 or more years.,50.71
EMP5128,FEMALE,1,Permanent,Beta,Training and Empowerment,"$88,060 ",23,16-Dec-21,21-Feb-70,4.42,4. 2 or more years.,56.27
EMP14319,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$53,880 ",6,17-Jun-22,20-Oct-94,3.92,4. 2 or more years.,31.59
EMP19778,MALE  ,1,Permanent,Beta,Training and Empowerment,"$94,570 ",14,28-Jul-22,8-Jun-83,3.81,4. 2 or more years.,42.97
EMP25475,FEMALE,1,Other,Gamma,App Design,"$97,255 ",23,7-Jul-22,11-Dec-19,3.86,4. 2 or more years.,106.5
EMP19390,FEMALE,1,Permanent,Gamma,Cake Design,"$109,810 ",2,25-Jul-22,18-Feb-87,3.81,4. 2 or more years.,39.27
EMP640,FEMALE,1,Permanent,Alpha,Chocolatiers,"$63,020 ",10,2-Dec-20,27-Aug-60,5.46,4. 2 or more years.,65.76
EMP16974,FEMALE,1,Permanent,Gamma,Cake Design,"$48,230 ",8,11-Jul-22,23-Nov-90,3.85,4. 2 or more years.,35.5
EMP24440,MALE  ,1,Other,Epsilon,Controlling,"$75,830 ",12,27-Jun-22,24-Dec-19,3.89,4. 2 or more years.,106.47
EMP20410,MALE  ,1,Permanent,Alpha,Plantation,"$77,740 ",13,1-Aug-22,24-Feb-56,3.79,4. 2 or more years.,70.27
EMP26666,FEMALE,1,Other,Zeta,Accounting,"$74,630 ",17,28-Jul-22,4-Nov-19,3.81,4. 2 or more years.,106.61
EMP5936,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$69,580 ",10,7-Feb-22,###############################################################################################################################################################################################################################################################,4.27,4. 2 or more years.,126.58
EMP6131,FEMALE,1,Permanent,Beta,Onboarding,"$65,970 ",23,17-Feb-22,10-Dec-88,4.25,4. 2 or more years.,37.46
EMP1616,MALE  ,1,Permanent,Gamma,Chocolatiers,"$85,240 ",9,10-Dec-18,17-Jan-61,7.44,4. 2 or more years.,65.37
EMP10704,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$75,955 ",5,16-May-22,31-May-92,4.01,4. 2 or more years.,33.98
EMP21351,MALE  ,1,Permanent,Gamma,Chocolatiers,"$67,680 ",11,27-Oct-21,9-Mar-55,4.56,4. 2 or more years.,71.24
EMP25990,FEMALE,1,Other,Gamma,Chocolatiers,"$79,010 ",17,18-Jul-22,28-Dec-19,3.83,4. 2 or more years.,106.46
EMP8117,MALE  ,1,Permanent,Alpha,Chocolatiers,"$117,810 ",18,11-Apr-22,31-Dec-88,4.1,4. 2 or more years.,37.4
EMP10468,FEMALE,1,Permanent,Alpha,Plantation,"$67,045 ",19,17-May-22,17-May-87,4,4. 2 or more years.,39.03
EMP2758,MALE  ,1,Permanent,Beta,Legal,"$77,970 ",20,16-Jun-21,10-Jan-55,4.92,4. 2 or more years.,71.4
EMP22462,FEMALE,1,Permanent,Delta,South American Support Group,"$74,050 ",26,9-Jun-21,19-Jun-75,4.94,4. 2 or more years.,50.95
EMP812,FEMALE,1,Permanent,Beta,Legal,"$59,060 ",21,5-Jan-22,21-Jul-69,4.36,4. 2 or more years.,56.86
EMP12403,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$53,655 ",7,6-Jun-22,13-Jun-89,3.95,4. 2 or more years.,36.95
EMP23677,MALE  ,1,Permanent,Beta,Stragegic Performance,"$87,380 ",10,23-Feb-22,11-Nov-90,4.23,4. 2 or more years.,35.54
EMP193,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$84,735 ",8,8-Apr-19,23-Jul-53,7.11,4. 2 or more years.,72.87
EMP8823,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$74,415 ",13,25-Apr-22,2-Nov-19,4.06,4. 2 or more years.,106.61
EMP16595,FEMALE,1,Permanent,Zeta,Accounts Payable,"$73,345 ",14,5-Jul-22,16-Dec-19,3.87,4. 2 or more years.,106.49
EMP16739,FEMALE,1,Permanent,Zeta,Services,"$83,995 ",15,7-Jul-22,20-Jun-83,3.86,4. 2 or more years.,42.94
EMP25027,FEMALE,1,Other,Gamma,Web Design,"$70,905 ",3,30-Jun-22,1-Dec-19,3.88,4. 2 or more years.,106.53
EMP26339,FEMALE,1,Other,Alpha,Cocoa Sales,"$120,040 ",11,25-Jul-22,3-Nov-19,3.81,4. 2 or more years.,106.61
EMP6415,FEMALE,1,Permanent,Gamma,Chocolatiers,"$96,495 ",-2,25-Feb-22,4-Aug-79,4.22,4. 2 or more years.,46.82
EMP5781,MALE  ,1,Permanent,Alpha,Plantation,"$81,695 ",22,31-Jan-22,10-Apr-91,4.29,4. 2 or more years.,35.13
EMP23071,FEMALE,1,Permanent,Zeta,Service Quality Assurance,"$61,595 ",14,8-Nov-21,4-Apr-87,4.52,4. 2 or more years.,39.15
EMP13681,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$64,870 ",9,15-Jun-22,10-Mar-94,3.92,4. 2 or more years.,32.21
EMP21288,MALE  ,1,Permanent,Beta,Stragegic Performance,"$48,230 ",13,6-Sep-21,23-Nov-65,4.7,4. 2 or more years.,60.52
EMP14547,FEMALE,1,Permanent,Delta,Fruits & Vegetables,"$94,345 ",15,20-Jun-22,12-Sep-61,3.91,4. 2 or more years.,64.72
EMP9788,MALE  ,1,Permanent,Alpha,Chocolatiers,"$74,570 ",15,9-May-22,14-Feb-73,4.02,4. 2 or more years.,53.29
EMP19861,FEMALE,1,Permanent,Beta,Employee Relations,"$72,110 ",7,28-Jul-22,5-Feb-76,3.81,4. 2 or more years.,50.31
EMP18685,MALE  ,1,Permanent,Gamma,Chocolatiers,"$87,340 ",25,21-Jul-22,19-Jul-91,3.82,4. 2 or more years.,34.85
EMP1625,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$79,125 ",22,14-Oct-19,3-Aug-69,6.59,4. 2 or more years.,56.82
EMP2736,MALE  ,1,Permanent,Delta,Fruits & Vegetables,"$87,475 ",5,17-Jun-21,22-Jan-59,4.92,4. 2 or more years.,67.36
EMP8915,FEMALE,1,Permanent,Gamma,Cake Design,"$77,135 ",7,25-Apr-22,9-Sep-66,4.06,4. 2 or more years.,59.73
EMP10555,FEMALE,1,Permanent,Gamma,Powders,"$51,625 ",9,16-May-22,30-Nov-75,4.01,4. 2 or more years.,50.5
EMP6332,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$65,850 ",16,24-Feb-22,18-Jun-83,4.23,4. 2 or more years.,42.94
EMP18947,MALE  ,1,Permanent,Gamma,App Design,"$87,820 ",7,21-Jul-22,20-Nov-62,3.82,4. 2 or more years.,63.53
EMP10806,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$51,710 ",17,17-May-22,9-Jan-85,4,4. 2 or more years.,41.38
EMP11413,FEMALE,0.8,Permanent,Gamma,Powders,"$100,470 ",25,23-May-22,13-Jun-81,3.99,4. 2 or more years.,44.96
EMP20494,FEMALE,1,Permanent,Gamma,Powders,"$71,505 ",6,1-Aug-22,2-Jul-94,3.79,4. 2 or more years.,31.9
EMP12512,MALE  ,1,Permanent,Gamma,Chocolatiers,"$94,975 ",9,6-Jun-22,2-Oct-61,3.95,4. 2 or more years.,64.67
EMP16099,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$69,115 ",20,29-Jun-22,23-Dec-19,3.88,4. 2 or more years.,106.47
EMP22583,MALE  ,1,Permanent,Gamma,Chocolatiers,"$57,135 ",15,28-Jun-21,25-Aug-81,4.89,4. 2 or more years.,44.76
EMP20895,FEMALE,0.6,Permanent,Gamma,Cake Design,"$71,370 ",9,14-Aug-20,9-Nov-57,5.76,4. 2 or more years.,68.56
EMP24615,FEMALE,1,Other,Beta,Onboarding,"$100,210 ",5,28-Jun-22,31-Dec-19,3.89,4. 2 or more years.,106.45
EMP15453,MALE  ,1,Fixed Term,Zeta,Accounts Payable,"$59,900 ",17,28-Jun-22,2-Dec-90,3.89,4. 2 or more years.,35.48
EMP12521,FEMALE,0.95,Permanent,Gamma,App Design,"$85,920 ",21,3-Jun-22,4-Jun-80,3.96,4. 2 or more years.,45.98
EMP16126,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$81,010 ",12,30-Jun-22,22-Dec-19,3.88,4. 2 or more years.,106.47
